run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_000,"(0.0060961246490478516, 1.1844843853991147)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_001,"(0.03774404525756836, 1.9593635425246712)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_002,"(0.0003504753112792969, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_003,"(0.13335275650024414, 5.472766910225445)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_004,"(0.0022161006927490234, 0.7526415663628256)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_005,"(0.0004229545593261719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_006,"(0.014183759689331055, 2.706943982198875)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_007,"(0.003252744674682617, 1.637595085631724)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_008,"(0.0003714561462402344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_009,"(0.004357814788818359, 1.8033638982045395)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_010,"(0.001964569091796875, 1.0967346649784924)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_011,"(0.06724023818969727, 1.084230587351347)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_012,"(0.0018813610076904297, 1.115112930592403)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_013,"(0.002556324005126953, 1.3873656572783966)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_014,"(0.0035467147827148438, 1.3969166529163912)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_015,"(0.0018367767333984375, 1.5378881603664538)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_016,"(0.0010290145874023438, 0.742017379671686)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_017,"(0.023607254028320312, 1.9790390699915705)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_018,"(0.21058273315429688, 3.403751658684209)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_019,"(0.04279160499572754, 2.0014678276734554)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_020,"(0.03936910629272461, 3.97286417632265)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_021,"(0.0029151439666748047, 2.359243287468783)"
