run_details,runtime
algorithm_heuristicEdgeId1_num_nodes_000005_sim_000,"(0.0012469291687011719, 1.4545847102587668)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_000,"(0.001138448715209961, 2.0882422291665867)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_000,"(0.0036001205444335938, 1.1844843853991147)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_000,"(0.003621816635131836, 2.0882422291665867)"
algorithm_Alg2_num_nodes_000005_sim_000,"(0.0030829906463623047, 1.1844843853991147)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_000,"(0.011360645294189453, 1.1844843853991147)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_001,"(0.0011761188507080078, 2.6482791364195286)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_001,"(0.001199960708618164, 1.9593635425246712)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_001,"(0.0038673877716064453, 1.9593635425246712)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_001,"(0.0033197402954101562, 1.9593635425246712)"
algorithm_Alg2_num_nodes_000005_sim_001,"(0.005151510238647461, 1.9593635425246712)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_001,"(0.050046443939208984, 1.9593635425246712)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_002,"(0.00024008750915527344, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_002,"(0.00023889541625976562, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_002,"(0.0012466907501220703, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_002,"(0.0011281967163085938, 0)"
algorithm_Alg2_num_nodes_000005_sim_002,"(0.0010614395141601562, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_002,"(0.0003485679626464844, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_003,"(0.0012042522430419922, 5.472766910225445)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_003,"(0.0010688304901123047, 5.472766910225445)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_003,"(0.004682064056396484, 5.472766910225444)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_003,"(0.003648042678833008, 5.472766910225444)"
algorithm_Alg2_num_nodes_000005_sim_003,"(0.21733975410461426, 5.472766910225444)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_003,"(0.2562243938446045, 5.472766910225445)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_004,"(0.0010559558868408203, 0.7526415663628256)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_004,"(0.0009875297546386719, 0.9854627729766482)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_004,"(0.002769947052001953, 0.7526415663628256)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_004,"(0.002874612808227539, 0.7526415663628256)"
algorithm_Alg2_num_nodes_000005_sim_004,"(0.002580404281616211, 0.7526415663628256)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_004,"(0.003435373306274414, 0.7526415663628256)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_005,"(0.0002541542053222656, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_005,"(0.0002486705780029297, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_005,"(0.0011403560638427734, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_005,"(0.0011289119720458984, 0)"
algorithm_Alg2_num_nodes_000005_sim_005,"(0.0010881423950195312, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_005,"(0.00037288665771484375, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_006,"(0.0010714530944824219, 2.706943982198875)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_006,"(0.0011169910430908203, 2.706943982198875)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_006,"(0.003045320510864258, 2.706943982198875)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_006,"(0.0031800270080566406, 2.706943982198875)"
algorithm_Alg2_num_nodes_000005_sim_006,"(0.008779525756835938, 2.706943982198875)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_006,"(0.016183137893676758, 2.706943982198875)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_007,"(0.0010514259338378906, 1.637595085631724)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_007,"(0.0012886524200439453, 1.9088062957927185)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_007,"(0.0031757354736328125, 1.637595085631724)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_007,"(0.0028944015502929688, 1.9088062957927185)"
algorithm_Alg2_num_nodes_000005_sim_007,"(0.002691984176635742, 1.637595085631724)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_007,"(0.007017374038696289, 1.637595085631724)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_008,"(0.0002601146697998047, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_008,"(0.0002319812774658203, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_008,"(0.001087188720703125, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_008,"(0.0011434555053710938, 0)"
algorithm_Alg2_num_nodes_000005_sim_008,"(0.0011153221130371094, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_008,"(0.0008137226104736328, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_009,"(0.0012524127960205078, 1.8033638982045395)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_009,"(0.001087188720703125, 1.8033638982045395)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_009,"(0.003028392791748047, 1.8033638982045395)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_009,"(0.003072977066040039, 1.8033638982045395)"
algorithm_Alg2_num_nodes_000005_sim_009,"(0.002929210662841797, 1.8033638982045395)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_009,"(0.007204771041870117, 1.8033638982045395)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_010,"(0.00103759765625, 1.0967346649784924)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_010,"(0.0010731220245361328, 1.0967346649784924)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_010,"(0.0028867721557617188, 1.0967346649784924)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_010,"(0.0033457279205322266, 1.0967346649784924)"
algorithm_Alg2_num_nodes_000005_sim_010,"(0.0022025108337402344, 1.0967346649784924)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_010,"(0.0026056766510009766, 1.0967346649784924)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_011,"(0.001142263412475586, 1.084230587351347)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_011,"(0.0014209747314453125, 1.084230587351347)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_011,"(0.0035390853881835938, 1.084230587351347)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_011,"(0.00449371337890625, 1.084230587351347)"
algorithm_Alg2_num_nodes_000005_sim_011,"(0.01178431510925293, 1.084230587351347)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_011,"(0.15143275260925293, 1.084230587351347)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_012,"(0.001117706298828125, 1.115112930592403)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_012,"(0.001077413558959961, 1.115112930592403)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_012,"(0.004326581954956055, 1.115112930592403)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_012,"(0.0033631324768066406, 1.115112930592403)"
