run_details,runtime
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_000,"(0.00040912628173828125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_001,"(0.0011107921600341797, 0.47090849231623405)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_002,"(0.008374452590942383, 1.966254060102043)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_003,"(0.0003581047058105469, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_004,"(0.00034928321838378906, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_005,"(0.0003566741943359375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_006,"(0.00033283233642578125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_007,"(0.00037097930908203125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_008,"(0.0009856224060058594, 0.31080251205724824)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_009,"(0.0017452239990234375, 0.6864025943512018)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_010,"(0.0003275871276855469, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_011,"(0.0014941692352294922, 0.6107444917881985)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_012,"(0.0003314018249511719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_013,"(0.001428365707397461, 0.5628730884194231)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_014,"(0.0003314018249511719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_015,"(0.0003306865692138672, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_016,"(0.00473332405090332, 1.6577121073570529)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_017,"(0.0050508975982666016, 2.4081247612876915)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_018,"(0.0003407001495361328, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_019,"(0.0013077259063720703, 0.6353011023844517)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_020,"(0.00033164024353027344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_021,"(0.00032138824462890625, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_022,"(0.0010406970977783203, 0.2990778057284562)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_023,"(0.006023406982421875, 3.132320748066354)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_024,"(0.00033926963806152344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_025,"(0.003699064254760742, 1.3941987315633178)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_026,"(0.00033593177795410156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_027,"(0.0003376007080078125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_028,"(0.0003464221954345703, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_029,"(0.003261566162109375, 1.2757776487424013)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_030,"(0.00033020973205566406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_031,"(0.0016634464263916016, 0.6294798394646073)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_032,"(0.008002281188964844, 2.5363953102922845)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_033,"(0.0003352165222167969, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_034,"(0.002863645553588867, 1.0441662962212614)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_035,"(0.00038361549377441406, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_036,"(0.005890607833862305, 2.991168352779413)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_037,"(0.0009918212890625, 0.6500164540354552)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_038,"(0.010643720626831055, 2.4725379425755536)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_039,"(0.0013189315795898438, 0.5457472750226838)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_040,"(0.0010616779327392578, 0.6153488903688665)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_041,"(0.0015425682067871094, 0.7325468718491859)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_042,"(0.0003314018249511719, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_043,"(0.0003485679626464844, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_044,"(0.0057370662689208984, 3.953869324872464)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_045,"(0.00033283233642578125, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_046,"(0.006146430969238281, 2.6976290372274265)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_047,"(0.0010058879852294922, 0.5593434663159418)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_048,"(0.0017361640930175781, 1.474946960769522)"
algorithm_edgeIDbrutev3UB_num_nodes_000005_sim_049,"(0.0009889602661132812, 1.03283283975046)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_000,"(0.0003829002380371094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_001,"(0.0003731250762939453, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_002,"(0.0003600120544433594, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_003,"(0.00035119056701660156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_004,"(0.12382769584655762, 3.030855854361304)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_005,"(0.0003809928894042969, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_006,"(0.0003523826599121094, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_007,"(0.29241156578063965, 5.924700673514941)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_008,"(0.08907532691955566, 1.876911298696006)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_009,"(0.396425724029541, 4.4454557172561175)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_010,"(0.0020270347595214844, 2.706202383779731)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_011,"(0.00034737586975097656, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_012,"(0.00038814544677734375, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_013,"(0.0003573894500732422, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_014,"(0.9181618690490723, 2.030401243064997)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_015,"(0.00038504600524902344, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_016,"(0.0003402233123779297, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_017,"(0.0024690628051757812, 1.1311674427068725)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_018,"(0.0003650188446044922, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_019,"(0.00035119056701660156, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_020,"(0.0003726482391357422, 0)"
algorithm_edgeIDbrutev3UB_num_nodes_000010_sim_021,"(0.8888015747070312, 1.6145968527561472)"
