run_details,runtime
algorithm_heuristicEdgeId1_num_nodes_000005_sim_000,"(0.00023889541625976562, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_000,"(0.00023293495178222656, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_000,"(0.0011758804321289062, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_000,"(0.0011627674102783203, 0)"
algorithm_Alg2_num_nodes_000005_sim_000,"(0.0011298656463623047, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_000,"(0.0003542900085449219, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_001,"(0.0010728836059570312, 0.47090849231623405)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_001,"(0.0009698867797851562, 0.47090849231623405)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_001,"(0.002030611038208008, 0.47090849231623405)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_001,"(0.0020585060119628906, 0.47090849231623405)"
algorithm_Alg2_num_nodes_000005_sim_001,"(0.00167083740234375, 0.47090849231623405)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_001,"(0.0010683536529541016, 0.47090849231623405)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_002,"(0.0010972023010253906, 1.966254060102043)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_002,"(0.0010721683502197266, 1.966254060102043)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_002,"(0.002730846405029297, 1.966254060102043)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_002,"(0.0031824111938476562, 1.966254060102043)"
algorithm_Alg2_num_nodes_000005_sim_002,"(0.002989053726196289, 1.966254060102043)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_002,"(0.011485815048217773, 1.966254060102043)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_003,"(0.00022339820861816406, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_003,"(0.0002224445343017578, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_003,"(0.001110076904296875, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_003,"(0.001046895980834961, 0)"
algorithm_Alg2_num_nodes_000005_sim_003,"(0.0010979175567626953, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_003,"(0.000339508056640625, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_004,"(0.0002238750457763672, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_004,"(0.0002846717834472656, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_004,"(0.0011146068572998047, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_004,"(0.001077413558959961, 0)"
algorithm_Alg2_num_nodes_000005_sim_004,"(0.0013442039489746094, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_004,"(0.00041413307189941406, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_005,"(0.00021648406982421875, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_005,"(0.00021958351135253906, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_005,"(0.0010263919830322266, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_005,"(0.001005411148071289, 0)"
algorithm_Alg2_num_nodes_000005_sim_005,"(0.0009851455688476562, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_005,"(0.0003228187561035156, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_006,"(0.00022077560424804688, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_006,"(0.00022363662719726562, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_006,"(0.0010426044464111328, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_006,"(0.0011203289031982422, 0)"
algorithm_Alg2_num_nodes_000005_sim_006,"(0.0010237693786621094, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_006,"(0.000335693359375, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_007,"(0.00023055076599121094, 0)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_007,"(0.00023746490478515625, 0)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_007,"(0.0010952949523925781, 0)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_007,"(0.001032114028930664, 0)"
algorithm_Alg2_num_nodes_000005_sim_007,"(0.0011610984802246094, 0)"
algorithm_edgeIDbrutev3_num_nodes_000005_sim_007,"(0.0003337860107421875, 0)"
algorithm_heuristicEdgeId1_num_nodes_000005_sim_008,"(0.0009534358978271484, 0.31080251205724824)"
algorithm_heuristicEdgeId2_num_nodes_000005_sim_008,"(0.0009958744049072266, 0.31080251205724824)"
algorithm_heuristicMinCut1_num_nodes_000005_sim_008,"(0.001943349838256836, 0.31080251205724824)"
algorithm_heuristicMinCut2_num_nodes_000005_sim_008,"(0.0019063949584960938, 0.31080251205724824)"
algorithm_Alg2_num_nodes_000005_sim_008,"(0.0016558170318603516, 0.31080251205724824)"
